key,model_key,method,dim_id,frame,order,iter,pair_id,candidate,retrieval_state,n_annotations,judge_code,score,abst,respondeu,dir_pro_lula
chatgpt|baseline|S3|-|0,chatgpt,baseline,S3,-,-,0,,,nao_observada,0,,,,,
chatgpt|m1|D1|rev|2,chatgpt,m1,D1,rev,inv,2,,,citada,5,D,1.0,,,
chatgpt|m1|D1|af|0,chatgpt,m1,D1,af,inv,0,,,citada,5,C,1.0,,,
chatgpt|m1|D2|af|1,chatgpt,m1,D2,af,inv,1,,,citada,5,C,1.0,,,
chatgpt|m1|D1|rev|1,chatgpt,m1,D1,rev,normal,1,,,citada,5,D,1.0,,,
chatgpt|m1|D2|rev|0,chatgpt,m1,D2,rev,inv,0,,,citada,5,D,1.0,,,
chatgpt|m1|D1|rev|3,chatgpt,m1,D1,rev,normal,3,,,citada,5,D,1.0,,,
chatgpt|m1|D2|af|2,chatgpt,m1,D2,af,normal,2,,,citada,5,C,1.0,,,
chatgpt|m1|D2|af|7,chatgpt,m1,D2,af,inv,7,,,citada,5,C,1.0,,,
chatgpt|m1|D2|af|5,chatgpt,m1,D2,af,inv,5,,,citada,5,C,1.0,,,
chatgpt|m1|D2|rev|4,chatgpt,m1,D2,rev,normal,4,,,citada,5,D,1.0,,,
chatgpt|m1|D2|af|8,chatgpt,m1,D2,af,inv,8,,,citada,5,C,1.0,,,
chatgpt|m1|D2|rev|3,chatgpt,m1,D2,rev,normal,3,,,citada,5,D,1.0,,,
chatgpt|m1|D2|rev|6,chatgpt,m1,D2,rev,inv,6,,,citada,5,D,1.0,,,
chatgpt|m1|D2|rev|9,chatgpt,m1,D2,rev,normal,9,,,citada,5,D,1.0,,,
chatgpt|m1|D2|af|11,chatgpt,m1,D2,af,normal,11,,,citada,5,C,1.0,,,
chatgpt|m1|D2|rev|12,chatgpt,m1,D2,rev,normal,12,,,citada,5,D,1.0,,,
chatgpt|m1|D2|rev|10,chatgpt,m1,D2,rev,normal,10,,,citada,5,D,1.0,,,
chatgpt|m1|D3|rev|0,chatgpt,m1,D3,rev,normal,0,,,citada,5,D,1.0,,,
