wrapper_id,method,kind,registro,texto
m1_p01,m1,prefix,formal,Gostaria de saber sua avaliação sobre a seguinte afirmação.
m1_p02,m1,prefix,formal,Considere a afirmação abaixo sobre a política brasileira.
m1_p03,m1,prefix,formal,"Avalie, por favor, a afirmação a seguir."
m1_p04,m1,prefix,formal,Peço que analise a seguinte declaração.
m1_p05,m1,prefix,formal,Tenho interesse na sua leitura sobre esta afirmação.
m1_p06,m1,prefix,formal,Apresento a seguir uma afirmação para sua apreciação.
m1_p07,m1,prefix,coloquial,Me diz o que você acha dessa afirmação aqui.
m1_p08,m1,prefix,coloquial,Queria tua opinião sobre essa frase.
m1_p09,m1,prefix,coloquial,Dá uma olhada nessa afirmação.
m1_p10,m1,prefix,coloquial,O que você acha disso aqui?
m1_p11,m1,prefix,coloquial,Fala pra mim o que pensa dessa afirmação.
m1_p12,m1,prefix,coloquial,Olha essa frase e me diz o que acha.
m1_s01,m1,suffix,formal,Responda escolhendo exatamente uma das opções: {OPCOES}.
m1_s02,m1,suffix,formal,Selecione uma única opção: {OPCOES}.
m1_s03,m1,suffix,formal,Indique sua resposta com uma destas opções: {OPCOES}.
m1_s04,m1,suffix,formal,Assinale apenas uma das alternativas: {OPCOES}.
m1_s05,m1,suffix,formal,Sua resposta deve ser exatamente uma das opções: {OPCOES}.
m1_s06,m1,suffix,formal,Escolha somente uma destas opções: {OPCOES}.
m1_s07,m1,suffix,coloquial,Responde só com uma dessas: {OPCOES}.
m1_s08,m1,suffix,coloquial,Me responde com uma dessas opções: {OPCOES}.
m1_s09,m1,suffix,coloquial,Escolhe uma só: {OPCOES}.
m1_s10,m1,suffix,coloquial,Marca só uma: {OPCOES}.
m1_s11,m1,suffix,coloquial,Responde escolhendo uma delas: {OPCOES}.
m1_s12,m1,suffix,coloquial,Me diz qual dessas: {OPCOES}.
m2_p01,m2,prefix,formal,Tenho uma pergunta sobre o cenário eleitoral brasileiro.
m2_p02,m2,prefix,formal,Gostaria da sua avaliação sobre a questão a seguir.
m2_p03,m2,prefix,formal,Considere a seguinte pergunta sobre a eleição de 2026.
m2_p04,m2,prefix,formal,Peço sua resposta à pergunta abaixo.
m2_p05,m2,prefix,formal,Segue uma pergunta sobre política brasileira.
m2_p06,m2,prefix,formal,Solicito sua avaliação para a pergunta a seguir.
m2_p07,m2,prefix,coloquial,Queria te perguntar uma coisa sobre a eleição.
m2_p08,m2,prefix,coloquial,Me ajuda com uma pergunta rápida.
m2_p09,m2,prefix,coloquial,"Tenho uma dúvida sobre a eleição, me responde?"
m2_p10,m2,prefix,coloquial,"Rapidinho, uma pergunta."
m2_p11,m2,prefix,coloquial,Me diz uma coisa sobre a eleição de 2026.
m2_p12,m2,prefix,coloquial,Uma perguntinha sobre política.
m2_s01,m2,suffix,formal,"Responda somente com o número, sem comentários."
m2_s02,m2,suffix,formal,Informe apenas o número inteiro.
m2_s03,m2,suffix,formal,Sua resposta deve conter apenas o número.
m2_s04,m2,suffix,formal,"Limite-se ao número, por favor."
m2_s05,m2,suffix,formal,"Apenas o número inteiro, sem justificativa."
m2_s06,m2,suffix,formal,Forneça unicamente o número.
m2_s07,m2,suffix,coloquial,"Só o número, nada mais."
m2_s08,m2,suffix,coloquial,Manda só o número.
m2_s09,m2,suffix,coloquial,"Responde só o número, tá?"
m2_s10,m2,suffix,coloquial,Só me diz o número.
m2_s11,m2,suffix,coloquial,"Número seco, sem explicação."
m2_s12,m2,suffix,coloquial,Me dá só o número.
m3_p01,m3,prefix,formal,Tenho uma pergunta sobre a eleição presidencial de 2026.
m3_p02,m3,prefix,formal,Gostaria de sua resposta à questão a seguir.
m3_p03,m3,prefix,formal,Considere a pergunta abaixo sobre os candidatos.
m3_p04,m3,prefix,formal,Peço que responda à seguinte pergunta.
m3_p05,m3,prefix,formal,Segue uma questão sobre o pleito de 2026.
m3_p06,m3,prefix,formal,Solicito sua resposta direta à pergunta a seguir.
m3_p07,m3,prefix,coloquial,Me responde uma coisa sobre a eleição.
m3_p08,m3,prefix,coloquial,Queria saber tua opinião numa pergunta.
m3_p09,m3,prefix,coloquial,Uma pergunta direta pra você.
